time	V(n001)	I(R1)
6.972505034802739e-04	4.415775e-03	3.383474e-06
6.982910311718783e-04	3.798536e-03	7.657090e-06
6.998392762134823e-04	2.206715e-03	1.230594e-05
7.012552336139920e-04	3.197446e-04	1.409460e-05
7.025061451881722e-04	-1.394590e-03	1.342231e-05
7.037815803153009e-04	-2.904340e-03	1.068082e-05
7.053129411627506e-04	-4.077097e-03	5.335266e-06
7.064023107114745e-04	-4.362098e-03	7.385815e-07
7.074931219715396e-04	-4.143218e-03	-3.900201e-06
7.085936431204573e-04	-3.442499e-03	-8.074318e-06
7.101961693942420e-04	-1.772046e-03	-1.225255e-05
7.115746708675274e-04	1.268508e-05	-1.346516e-05
7.128162687626284e-04	1.611832e-03	-1.245665e-05
7.140721542705246e-04	2.966987e-03	-9.581439e-06
7.156860495274717e-04	4.003067e-03	-3.956920e-06
7.166384165128560e-04	4.156174e-03	-7.158993e-08
7.177640975439931e-04	3.864942e-03	4.443007e-06
7.189129855387378e-04	3.085226e-03	8.435494e-06
7.205901487035836e-04	1.323466e-03	1.213253e-05
7.219317028795215e-04	-3.542805e-04	1.278262e-05
7.231919107736992e-04	-1.863114e-03	1.138539e-05
7.244766764253537e-04	-3.089739e-03	8.203745e-06
7.261761972755949e-04	-3.918278e-03	2.248570e-06
7.272122279739972e-04	-3.900938e-03	-1.801962e-06
7.282457397896832e-04	-3.479471e-03	-5.615872e-06
7.296359994563010e-04	-2.375184e-03	-9.685627e-06
7.313007385120060e-04	-5.367657e-04	-1.210942e-05
7.326084575887611e-04	1.022827e-03	-1.179159e-05
7.339462389251627e-04	2.423092e-03	-9.486642e-06
7.354016204964603e-04	3.449991e-03	-5.212854e-06
7.365601017801021e-04	3.769876e-03	-1.030828e-06
7.376244631354978e-04	3.630571e-03	2.907529e-06
7.386786331644807e-04	3.101564e-03	6.455934e-06
7.402369745769375e-04	1.762341e-03	1.024571e-05
7.416449404127700e-04	2.082324e-04	1.163293e-05
7.428939882730957e-04	-1.199909e-03	1.101359e-05
7.441653828565104e-04	-2.430361e-03	8.705805e-06
7.457133744884245e-04	-3.384703e-03	4.204969e-06
7.467743720022114e-04	-3.597273e-03	5.010526e-07
7.478716266208701e-04	-3.403132e-03	-3.339570e-06
7.489825815553462e-04	-2.806090e-03	-6.788636e-06
7.505992728517743e-04	-1.399759e-03	-1.018835e-05
7.519703546988361e-04	6.884346e-05	-1.110071e-05
7.532092970923774e-04	1.379611e-03	-1.020343e-05
7.544610497775675e-04	2.481457e-03	-7.786899e-06
7.560931100241639e-04	3.318707e-03	-3.053816e-06
7.570276438194378e-04	3.425302e-03	9.745818e-08
7.581688920692742e-04	3.162144e-03	3.856427e-06
7.593337679576963e-04	2.488332e-03	7.147455e-06
7.610321369106132e-04	9.937505e-04	1.010435e-05
7.623610141741760e-04	-3.801632e-04	1.051203e-05
7.637666445202513e-04	-1.738239e-03	9.023174e-06
7.650533439055177e-04	-2.687524e-03	6.175812e-06
7.664810381094004e-04	-3.225768e-03	1.954578e-06
7.674662860920206e-04	-3.229840e-03	-1.225620e-06
7.685102078139148e-04	-2.902759e-03	-4.426648e-06
7.698640447081195e-04	-2.043430e-03	-7.774841e-06
7.715308077871429e-04	-5.461000e-04	-9.932875e-06
7.728400983274263e-04	7.445873e-04	-9.802919e-06
7.741850119808239e-04	1.924353e-03	-8.008146e-06
7.756069740855026e-04	2.791167e-03	-4.655464e-06
7.768260975261709e-04	3.103822e-03	-1.062107e-06
7.778751433309148e-04	3.014756e-03	2.147216e-06
7.788958373941403e-04	2.620027e-03	5.022946e-06
7.804249144707664e-04	1.574778e-03	8.230069e-06
7.818734366475904e-04	2.723608e-04	9.567862e-06
7.831313532708685e-04	-9.023118e-04	9.171636e-06
7.844161799340658e-04	-1.944912e-03	7.342527e-06
7.859266832077750e-04	-2.750727e-03	3.796147e-06
7.870443483826003e-04	-2.964589e-03	6.022708e-07
7.881274037291871e-04	-2.828534e-03	-2.534849e-06
7.892147998734799e-04	-2.370906e-03	-5.361780e-06
7.908021185696558e-04	-1.262167e-03	-8.245202e-06
7.921895004820446e-04	-4.620219e-05	-9.152790e-06
7.934334878302693e-04	1.047427e-03	-8.530021e-06
7.946942333652845e-04	1.983306e-03	-6.619515e-06
7.962871226693124e-04	2.703156e-03	-2.887018e-06
7.972694451931536e-04	2.826147e-03	-1.712353e-07
7.983832134595539e-04	2.645132e-03	2.875636e-06
7.995180676662726e-04	2.137622e-03	5.589488e-06
8.011740959267859e-04	9.729728e-04	8.165106e-06
8.025267309364934e-04	-1.734379e-04	8.705835e-06
8.037617812414490e-04	-1.188325e-03	7.864905e-06
8.050223267872900e-04	-2.031509e-03	5.835520e-06
8.066944332968793e-04	-2.641596e-03	1.928558e-06
8.076666237761472e-04	-2.677527e-03	-6.570295e-07
8.088831338865277e-04	-2.379692e-03	-3.733126e-06
8.101331829411650e-04	-1.726983e-03	-6.299908e-06
8.119024547570940e-04	-4.249007e-04	-8.203526e-06
8.132395430925721e-04	6.598971e-04	-8.046413e-06
8.146063420099575e-04	1.636707e-03	-6.476891e-06
8.160403729314546e-04	2.332989e-03	-3.630542e-06
